Country Name,Country Code,JO Year,PIB_mean
"Moyen-Orient, Afrique du Nord, Afghanistan et Pakistan",MEA,2016,5697.804265437535
Mexique,MEX,2016,10843.387584565724
Îles Marshall,MHL,2016,3672.9390258521425
Revenu intermédiaire,MIC,2016,4613.025636552707
Macédoine du Nord,MKD,2016,5466.0400841828805
Mali,MLI,2016,889.9426893240545
Malte,MLT,2016,25312.031914136023
Myanmar,MMR,2016,1215.3737476065749
Afrique du Nord et Moyen-Orient (hors revenu élevé),MNA,2016,3109.3421103202527
Monténégro,MNE,2016,6901.707031176527
Mongolie,MNG,2016,4158.54853810153
Mariannes,MNP,2016,15564.242644660375
Mozambique,MOZ,2016,669.9744689668939
Mauritanie,MRT,2016,1765.3289986209275
Maurice,MUS,2016,9732.526704667205
Malawi,MWI,2016,531.1320409640798
Malaisie,MYS,2016,10494.051428771276
Amérique du Nord,NAC,2016,53832.64475424672
Namibie,NAM,2016,5360.4244730890505
Nouvelle-Calédonie,NCL,2016,35226.60086046515
Niger,NER,2016,532.8964775799502
Nigéria,NGA,2016,2795.110775096812
Nicaragua,NIC,2016,1913.2412514888701
Pays-Bas,NLD,2016,50581.81682056185
Norvège,NOR,2016,94551.60510541392
Népal,NPL,2016,822.1178482388618
Nauru,NRU,2016,8922.104233703993
Nouvelle-Zélande,NZL,2016,41584.45077855465
Pays membres de l'OCDE,OED,2016,37207.06161952198
Oman,OMN,2016,22517.319819575878
Autres petits états,OSS,2016,11114.56135013645
Pakistan,PAK,2016,1269.2205959296025
Panama,PAN,2016,12658.495669601027
Pérou,PER,2016,6541.256098444708
Philippines,PHL,2016,2793.1480596260326
Palaos,PLW,2016,13582.763997631375
Papouasie-Nouvelle-Guinée,PNG,2016,2600.9083977575574
Pologne,POL,2016,13402.282386644074
de Pré-dividende démographique,PRE,2016,1693.312551372585
Puerto Rico (US),PRI,2016,28443.05367944175
"Corée, République démocratique de",PRK,2016,
Portugal,PRT,2016,20901.594925206926
Paraguay,PRY,2016,6152.36151414281
Cisjordanie et Gaza,PSE,2016,3251.750796279118
Petits états insulaires du Pacifique,PSS,2016,3662.905114583117
de Post-dividende démographique,PST,2016,42240.31374819051
Polynésie française,PYF,2016,21056.942572216023
Qatar,QAT,2016,94248.32822575237
Roumanie,ROU,2016,9359.104083897368
Fédération de Russie,RUS,2016,13669.12158203125
Rwanda,RWA,2016,717.6744107892089
Asie du Sud,SAS,2016,1473.01770567901
Arabie saoudite,SAU,2016,26915.135785900624
Soudan,SDN,2016,1181.4169769287123
Sénégal,SEN,2016,1330.8918663978077
Singapour,SGP,2016,56431.3475686938
Îles Salomon,SLB,2016,2109.5180982324473
Sierra Leone,SLE,2016,1034.3277215981175
El Salvador,SLV,2016,3634.1332223567824
Saint-Marin,SMR,2016,48290.26149137145
République fédérale de Somalie,SOM,2016,404.66884686799733
Serbie,SRB,2016,6502.61465744795
Afrique subsaharienne (hors revenu élevé),SSA,2016,1937.2479401878477
Soudan du Sud,SSD,2016,1270.5829056068324
Afrique subsaharienne,SSF,2016,1795.4781271498125
Petits états,SST,2016,10925.080072470773
Sao Tomé-et-Principe,STP,2016,1345.2885577887225
Suriname,SUR,2016,8954.059857492402
République slovaque,SVK,2016,17760.6886740116
Slovénie,SVN,2016,22597.3625943307
Suède,SWE,2016,57343.94219463717
Eswatini,SWZ,2016,3872.9443275033054
Sint Maarten (Dutch part),SXM,2016,32913.34326470617
Seychelles,SYC,2016,14419.935751192075
République arabe syrienne,SYR,2016,1197.9691275562795
Îles Turques-et-Caïques,TCA,2016,23699.1316615521
Tchad,TCD,2016,1233.0028553924824
Asie de l’Est et Pacifique (BIRD et IDA),TEA,2016,6157.127162468934
Europe et Asie centrale (BIRD et IDA),TEC,2016,9915.542331456563
Togo,TGO,2016,798.8932492463015
Thaïlande,THA,2016,5808.41543031163
Tadjikistan,TJK,2016,1004.7775506851187
Turkménistan,TKM,2016,6394.290850775942
Amérique latine et Caraïbes (BIRD et IDA),TLA,2016,9955.324632341551
Timor-Leste,TLS,2016,1192.88249962788
Afrique du Nord et Moyen-Orient (BIRD et IDA),TMN,2016,3108.3751471342825
Tonga,TON,2016,4215.9777174362225
Asie du Sud (BIRD et IDA),TSA,2016,1473.01770567901
Afrique subsaharienne (BIRD et IDA),TSS,2016,1795.4781271498125
Trinité-et-Tobago,TTO,2016,20858.1630287204
Tunisie,TUN,2016,4285.246993579025
Turquie,TUR,2016,11876.672022861525
Tuvalu,TUV,2016,3498.8426975909724
Tanzanie,TZA,2016,946.7256927490242
Ouganda,UGA,2016,843.1244252180112
Ukraine,UKR,2016,3307.6553344726576
"Revenu intermédiaire, tranche supérieure",UMC,2016,7481.995948492243
Uruguay,URY,2016,17510.795728850826
États-Unis,USA,2016,54252.16104054508
Ouzbékistan,UZB,2016,2561.8697459089026
Saint-Vincent-et-les Grenadines,VCT,2016,7077.209843074748
Venezuela,VEN,2016,13749.392191233967
Îles Vierges britanniques,VGB,2016,
Îles Vierges (EU),VIR,2016,34861.50331846918
Viet Nam,VNM,2016,2417.1471348178375
Vanuatu,VUT,2016,2953.1411587868824
Monde,WLD,2016,10600.64883387175
Samoa,WSM,2016,4006.29256240062
Kosovo,XKX,2016,3634.5842464782722
"Yémen, Rép. du",YEM,2016,1354.034683489925
Afrique du Sud,ZAF,2016,7094.40916360789
Zambie,ZMB,2016,1633.5331949697027
Zimbabwe,ZWE,2016,1339.8819073794427
Aruba,ABW,2021,28118.579250630326
,AFE,2021,1474.2587645567548
Afghanistan,AFG,2021,506.04913997488325
,AFW,2021,1693.1877141833675
Angola,AGO,2021,2153.907421027795
Albanie,ALB,2021,5202.6861948311325
Andorre,AND,2021,40527.91589148367
